Sample_ID,Product,Modality,Skilling,Course[Course ID],Course[Course Title],Course[Url],Course[CourseDuration],Course[Modality],Course[CourseKey],Course[Is Active],Course[Credit Hours],Course[Description],Course[CreateDate],Course[Hosted Training Organization],Course[SourceSystem],Skill,Skill_Category,Sub_Category,Content_Level,Skill_Level,Course_Hours,Detected_Language
43,Cloud & AI,Online Course,Integration and interoperability solution for healthcare and life sciences,6AAC5FD7-D047-4063-87A3-1C030B4DE468,Integration and interoperability solution for healthcare and life sciences,https://learn.microsoft.com/en-us/training/modules/healthcare-interoperability/?WT.mc_id=api_CatalogApi,1h 31m,Online Course,1026554,Yes,,Learn how to use the Data Integration Toolkit and Dataverse Healthcare API to send and retrieve healthcare data in Microsoft Cloud for Healthcare.,2/22/2023 12:00:00 AM,,MSLearn,Cloud & AI,Technical Skills,AI & ML Technologies,Beginner,L100,1.5166666666666666,en
44,Cloud & AI,Online Course,Introduction to infrastructure as code using Terraform,097CD1A0-1957-44E6-97BC-5B0EB527A47E,Introduction to infrastructure as code using Terraform,https://learn.microsoft.com/en-us/training/modules/terraform-introduction-to-infrastructure-as-code/?WT.mc_id=api_CatalogApi,28m,Online Course,1023579,Yes,,Learn the fundamentals of how Terraform can help you adopt infrastructure as code to quickly and confidently scale your cloud deployments.,9/10/2024 12:00:00 AM,,MSLearn,Cloud & AI,Technical Skills,AI & ML Technologies,Beginner,L100,0.4666666666666667,en
45,Cloud & AI,Online Course,Learn to Earn: Digital Sales for Enteprise and Corporate Cloud Acquisition,S9232722,Learn to Earn: Digital Sales for Enteprise and Corporate Cloud Acquisition,https://learningplayer.microsoft.com/activity/S9232722/launch,39m,Online Course,1629440,Yes,0.6600000262260437,"Learn to Earn! This course will provide you with an understanding of your FY23 incentive compensation plan, incentives, and resources for the fiscal year.",5/17/2022 12:00:00 AM,World Wide Readiness,SuccessFactors,Cloud & AI,Technical Skills,AI & ML Technologies,Beginner,L100,0.65,en
46,Cloud & AI,Online Course,Microsoft Cloud Strategy,S9212863,Microsoft Cloud Strategy,https://learningplayer.microsoft.com/activity/S9212863/launch,7m,Online Course,1617645,Yes,0.1299999952316284,"Microsoft is the only company today with a top-to-bottom platform that can support our customers’ opportunities in the predictive era. Leading with the Microsoft Cloud story is key to winning against the competition. Watch James Philips, President of the Digital Transformation Platform Group deliver the Microsoft Cloud strategy to learn how to present it.",8/9/2021 12:00:00 AM,World Wide Readiness,SuccessFactors,Cloud & AI,Technical Skills,AI & ML Technologies,Beginner,L100,0.1166666666666666,en
47,Cloud & AI,Online Course,Migrate to Modernize AVS Conversation,S9296850,Migrate to Modernize AVS Conversation,https://learningplayer.microsoft.com/activity/S9296850/launch,45m,Online Course,1665378,Yes,0.75,"Unlock the potential of cloud migration and modernization with our comprehensive course, """"Migrating Your Data Center to the Cloud for AI Readiness."""" This course will guide you through the essential steps to transition your data center to the cloud, enabling you to leverage AI and cloud-native applications effectively. Learn best practices, optimize costs, enhance security, and achieve cloud agility to drive innovation and success in your organization.",2/4/2025 12:00:00 AM,MCAPS Academy,SuccessFactors,Cloud & AI,Technical Skills,AI & ML Technologies,Proficient,L300,0.75,en
48,Cloud & AI,Online Course,Moving Data with Snowflake,PSL8396.00,Moving Data with Snowflake,https://app.pluralsight.com/sso/microsoft?returnUrl=courses/moving-data-snowflake,,Online Course,1294732,Yes,,"Snowflake is one of the most popular cloud data platforms. It allows data storage, data processing, and analytics at massive scale, with extremely less administrative effort, one of the key areas for any data platform is to build data pipelines. In this course, Moving Data with Snowflake, you’ll learn how to quickly & reliably, ingest the data into the tables of Snowflake database - by building Batch and Streaming pipelines in Snowflake.First, you’ll delve into each different data loading options in Snowflake.Then, you’ll see how the batch loading process works in Snowflake - how to connect to external data stores, like Azure Storage; and how to directly query the files in Snowflake.Next, you’ll explore how to work with structured, and semi-structured file formats, like CSV, JSON, and Parquet.finally, you’ll see how to process streaming data in Snowflake – how to continuously load the data using Snowpipe; and how to automate this loading process.By the end of this course, you’ll have the knowledge and skills, to Move Data with Snowflake, by building batch and streaming pipelines.",11/22/2021 12:00:00 AM,EMLI,PLURALSIGHT,Cloud & AI,Technical Skills,AI & ML Technologies,Beginner,L100,,en
49,Cloud & AI,Online Course,Nuance Cloud IVR: Reporting Demo using Nuance Insights (ENT241),S9284144,Nuance Cloud IVR: Reporting Demo using Nuance Insights (ENT241),https://learningplayer.microsoft.com/activity/S9284144/launch,,Online Course,1658832,Yes,0.25,"This course provides pre-recorded demonstration of the Nuance Insights reporting tool, including: 


	Working with Nuance Insights Workbooks and Views 
	Using Filters and Customized Views 
	Review of standard IVR reports and workbooks 
	Exporting data from reports


Presenter: Peter Trujillo, Principal Product Manager, Intelligent Engagement Product Management, Nuance

Objectives


	Upon successful completion of this course, participants will be able to: 
	Understand how to access Nuance Insights workbooks and reports  
	Understand how to filter data to customize report views  
	Understand how to save customized views and export data",6/3/2024 12:00:00 AM,Nuance,SuccessFactors,Cloud & AI,Technical Skills,AI & ML Technologies,Advanced,L400,,en
50,Cloud & AI,Online Course,SAP BTP and BDC,S9310199,SAP BTP and BDC,https://learningplayer.microsoft.com/activity/S9310199/launch,35m,Online Course,1674007,Yes,0.5899999737739563,"Gain concise insights on integrating SAP BTP and BDC with Azure, focusing on technical alignment, commercial models, and strategies to drive SAP workload migration. 

Key Takeaways: 
• SAP BTP and BDC services are rapidly expanding on Azure, reaching service parity and new regions. 
• Flexible commercial models and bundled offerings support SAP cloud adoption. 
• Technical integration and co-selling approaches optimize SAP migrations and customer value 

Learning Objectives: 
• Align migration strategies between Microsoft, SAP, and customers. 
• Modernize IT by integrating SAP and non-SAP data on Azure. 
• Strengthen customer relationships through collaboration and support.",11/25/2025 12:00:00 AM,MCAPS Academy,SuccessFactors,Cloud & AI,Technical Skills,AI & ML Technologies,Proficient,L300,0.5833333333333334,en
51,Cloud & AI,Online Course,STRIKE: Inside MSRC: Cloud Vulnerability Management,S9271783,STRIKE: Inside MSRC: Cloud Vulnerability Management,https://learningplayer.microsoft.com/activity/S9271783/launch,25m,Online Course,1652430,Yes,0.4300000071525574,"In this presentation, we will talk about how a vulnerability report evolves from the initial vulnerability report to the conversation with researcher and engineering groups, to engaging the Security Incident Response to manage the security event, to eventual disclosure to impacted customers and associated regulators, and finally to a public Coordinated Vulnerability Disclosure. We'll cover what can make this process go smoothly, and some things that make it increasingly more complex.",10/12/2023 12:00:00 AM,CESEA,SuccessFactors,Cloud & AI,Technical Skills,AI & ML Technologies,Advanced,L400,0.4166666666666667,en
52,Cloud & AI,Online Course,Securing Software as a Service (SaaS),4311176,Securing Software as a Service (SaaS),https://www.linkedin.com/checkpoint/enterprise/login/3322?pathWildcard=3322&application=learning&dApp=223557096&redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Flearning%2Fsecuring-software-as-a-service-saas%3FdApp%3D223557096%26leis%3DLAA%26u%3D3322,54m,Online Course,1005429,Yes,,"<p>Software as a service (SaaS) makes up the majority of all cloud consumption, but guidance for cloud security commonly focuses on IaaS. In this course, cybersecurity expert Jerich Beason shows you how to mitigate risks specific to SaaS applications.</p>
<p><b>Secure SaaS applications by learning how to:</b></p>
<ul>
<li>Identify data, assets, and risks to your SaaS applications.</li>
<li>Leverage security controls, policies, and processes to detect, monitor, prevent, and recover from SaaS attacks.</li> 
<li>Utilize policies and processes to manage the effectiveness of risk-aligned SaaS security controls.</li>
<li>Mitigate risk using popular security tools such as a cloud access security broker (CASB), identity-as-a-service provider, SaaS security posture management, and security ratings provider.</li>
<li>Use OAuth to control third-party access to sensitive user data.</li> 
<li>Manage cloud data storage more effectively for safer, enhanced collaboration.</li>
</ul>",5/8/2023 12:00:00 AM,LIL,LinkedInLearning,Cloud & AI,Technical Skills,AI & ML Technologies,Advanced,L400,0.9,en
53,Cloud & AI,Online Course,Survey - Flight Plan: Modern Work Cloud Solution Architect,S9286036,Survey - Flight Plan: Modern Work Cloud Solution Architect,https://learningplayer.microsoft.com/activity/S9286036/launch,5m,Online Course,1660209,Yes,0.0900000035762786,Complete the two-question survey to receive your credit for this learning path.,7/24/2024 12:00:00 AM,World Wide Readiness,SuccessFactors,Cloud & AI,Technical Skills,AI & ML Technologies,Proficient,L300,0.0833333333333333,en
54,Cloud & AI,Online Course,Unified: DE | Cloud Endpoints,S9309815,Unified: DE | Cloud Endpoints,https://learningplayer.microsoft.com/activity/S9309815/launch,25m,Online Course,1673717,Yes,0.4199999868869781,"In this course, you'll uncover customer challenges and market opportunities, dive into Designated Engineering (DE) | Cloud Endpoints - its value proposition and how it relates to other offers, and access targeted sales resources to help you engage, position, and sell with confidence.",11/12/2025 12:00:00 AM,MCAPS Academy,SuccessFactors,Cloud & AI,Technical Skills,AI & ML Technologies,Beginner,L100,0.4166666666666667,en
55,Cloud & AI,Online Course,Updates and Upgrades for Finance and Operations Apps,9895CDB3-7D1E-4FD2-A1DC-B04F95A29FE7,Updates and Upgrades for Finance and Operations Apps,https://learn.microsoft.com/en-us/training/modules/upgrades-updates-finance-operations-apps/?WT.mc_id=api_CatalogApi,46m,Online Course,1028001,Yes,,"Discover ERP evolution, boosting productivity and efficiency by upgrading to finance and operations cloud service. Learn about updates, tools, and data upgrades.",6/25/2020 12:00:00 AM,,MSLearn,Cloud & AI,Technical Skills,AI & ML Technologies,Beginner,L100,0.7666666666666667,en
56,LLM,Online Course,Device Enrollment Strategies in Microsoft Intune,PSL121237.00,Device Enrollment Strategies in Microsoft Intune,https://app.pluralsight.com/sso/microsoft.com?returnUrl=/library/courses/microsoft-intune-device-enrollment-strategies,1h 17m,Online Course,1279152,Yes,,"Organizations must plan how best to enroll their devices in the Intune service. As usual with Microsoft, many pathways exist. In this course, Device Enrollment Strategies in Microsoft Intune, you’ll gain the ability to create an efficient Intune enrollment plan that takes advantage of available tools. First, you’ll explore the many methods for enrolling Windows devices, both automatically and manually. Next, you’ll discover the techniques and tools for enrolling non-Windows devices (specifically, Apple and Android) so that they can be managed by Intune even when the devices are employee-owned. Finally, you’ll learn how to chase down the root causes of the inevitable enrollment glitches and gracefully recover from them. When you’re finished with this course, you’ll have the skills and knowledge of Intune enrollment needed to map out exactly how to get the devices in your organization onboarded to the Intune service for proactive management in the Microsoft cloud.",7/16/2026 12:00:00 AM,EMLI,PLURALSIGHT,LLM,Technical Skills,AI & ML Technologies,Beginner,L100,1.2833333333333332,en
57,LLM,Online Course,Getting Started with Docker and AI,PSL76441.00,Getting Started with Docker and AI,https://app.pluralsight.com/sso/microsoft.com?returnUrl=/library/courses/getting-started-with-docker-and-ai,1h 12m,Online Course,1293393,Yes,,"Running AI models locally can be complex without the right tools and integrations. In this course, Getting Started with Docker and AI, you’ll gain the ability to run large language models (LLMs) locally using Docker Model Runner as part of your Docker workflow. First, you’ll explore how Docker Model Runner works, its architecture, and how it integrates with OpenAI-compatible apps. Next, you’ll discover how to install Docker Model Runner, manage models, and interact with them via Docker Hub and the command line. Finally, you’ll learn how to integrate Docker Model Runner into Compose apps and third-party tools to build local AI-powered applications, including private chatbots similar to ChatGPT and Claude. When you’re finished with this course, you’ll have the skills and knowledge needed to confidently run and integrate AI models locally with Docker.",7/21/2025 12:00:00 AM,EMLI,PLURALSIGHT,LLM,Technical Skills,AI & ML Technologies,Advanced,L400,1.2,en
58,LLM,Online Course,"Installing, Running and Testing LLMs on Your Local Computer",4578029,"Installing, Running and Testing LLMs on Your Local Computer",https://www.linkedin.com/checkpoint/enterprise/login/3322?pathWildcard=3322&application=learning&dApp=223557096&redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Flearning%2Finstalling-running-and-testing-llms-on-your-local-computer%3FdApp%3D223557096%26leis%3DLAA%26u%3D3322,14m,Online Course,1007936,Yes,,"Discover how to set up, operate, and test LLMs on your machine, using Jan App. Explore open vs. closed-source models and installation requirements. Locally test AI models including Meta's Llama, Mistral AI, and OpenAI's closed-source ChatGPT. This course is perfect for those eager to test AI models with personal data without third-party sharing, or for those who want to use ChatGPT, but need to ensure they are not training other AIs.",1/29/2024 12:00:00 AM,LIL,LinkedInLearning,LLM,Technical Skills,AI & ML Technologies,Beginner,L100,0.2333333333333333,en
59,LLM,Online Course,Large Language Models on AWS: Building and Deploying Open-Source LLMs,5994101,Large Language Models on AWS: Building and Deploying Open-Source LLMs,https://www.linkedin.com/checkpoint/enterprise/login/3322?pathWildcard=3322&application=learning&dApp=223557096&redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Flearning%2Flarge-language-models-on-aws-building-and-deploying-open-source-llms%3FdApp%3D223557096%26leis%3DLAA%26u%3D3322,35m,Online Course,1014766,Yes,,"<p>In this course, MLOps expert Noah Gift highlights the world of open-source Large Language Models (LLMs) on AWS. Learn about essential toolchains, including how to optimize and compile LLMs such as llama.cpp. Discover the implications of Amdahl's law for your computational tasks and see practical demonstrations using the GGUF file format. Find out about Python UV scripting and packaging to maximize the functionality and efficiency of your models. Understand key concepts in llama.cpp through detailed walkthroughs and see end-to-end demos of quantized models on AWS G5 instances. Gain practical knowledge and hands-on experience that can directly apply to your projects. By the end of the course, you will be able to effectively utilize and optimize open-source LLMs on AWS, making your AI applications more efficient and powerful. </p>

<p>This course was created by Pragmatic AI Labs LLC. We are pleased to host this training in our library.</p>",1/16/2025 12:00:00 AM,LIL,LinkedInLearning,LLM,Technical Skills,AI & ML Technologies,Advanced,L400,0.5833333333333334,en
60,LLM,Online Course,Plan and implement device enrollment using Microsoft Intune,AC7C77C3-2DDE-4DFA-93EE-7A2900C656D0,Plan and implement device enrollment using Microsoft Intune,https://learn.microsoft.com/en-us/training/modules/plan-implement-device-enrollment/?WT.mc_id=api_CatalogApi,1h,Online Course,1028603,Yes,,"Covers enrollment strategy selection, step-by-step platform enrollment guidance for Windows, iOS/iPadOS, macOS, and Android, plus enrollment restrictions and troubleshooting.",5/23/2026 12:00:00 AM,,MSLearn,LLM,Technical Skills,AI & ML Technologies,Proficient,L300,1.0,en
61,LLM,Online Course,Video - Network Device Enrollment Services,S6340536,Video - Network Device Enrollment Services,https://learningplayer.microsoft.com/activity/S6340536/launch,1h 1m,Online Course,1566676,Yes,1.0299999713897705,Video - Network Device Enrollment Services,11/5/2019 12:00:00 AM,CSS Learning,SuccessFactors,LLM,Technical Skills,AI & ML Technologies,Beginner,L100,1.0166666666666666,en
62,Machine Learning,LearningPath,Designated Engineering Time Innovate Apps with Azure Machine Learning,8283,Designated Engineering Time Innovate Apps with Azure Machine Learning,https://learningpath.microsoft.com/8283,24h,LearningPath,979960,Yes,,Designated Engineering Time Innovate Apps with Azure Machine Learning,8/18/2023 12:00:00 AM,World Wide Readiness,LearningAdminCentral,Machine Learning,Technical Skills,AI & ML Technologies,Beginner,L100,24.0,en
63,Machine Learning,Online Course,10 AI terms everyone should know,S9293630,10 AI terms everyone should know,https://learningplayer.microsoft.com/externalurl/S9293630/launch,10m,Online Course,1663615,Yes,0.1700000017881393,"The term """"AI"""" has been used in computer science since the 1950s, but most people outside the industry didn't start talking about it until the end of 2022. That's because recent advances in machine learning led to big breakthroughs that are beginning to have a profound impact on nearly every aspect of our lives. We're here to help break down some of the buzzwords so you can better understand AI terms and be a part of the global conversation.",12/2/2024 12:00:00 AM,GLD,SuccessFactors,Machine Learning,Technical Skills,AI & ML Technologies,Beginner,L100,0.1666666666666666,en
64,Machine Learning,Online Course,AI and the Future of Work: Workflows and Modern Tools for Tech Leaders (2024),4480573,AI and the Future of Work: Workflows and Modern Tools for Tech Leaders (2024),https://www.linkedin.com/checkpoint/enterprise/login/3322?pathWildcard=3322&application=learning&dApp=223557096&redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Flearning%2Fai-and-the-future-of-work-workflows-and-modern-tools-for-tech-leaders-2024%3FdApp%3D223557096%26leis%3DLAA%26u%3D3322,1h 5m,Online Course,1007143,Yes,,"“Putting machine learning into production"" has a very different definition in 2023 than it did in 2013. The scope of what is possible to achieve with ML has increased significantly, and the associated challenges have grown proportionally. To effectively lead a data science team, you need to understand what you can feasibly expect them to achieve given the current state of ML, what challenges they will inevitably face, and how to navigate the modern ML ecosystem to provide them with support. In this course, instructor Kristen Kehrer teaches you all three. Learn how to streamline AI workflows with modern tools, manage AI projects and teams, collaborate with technical experts. Plus, develop future-proof leadership skills and keep abreast of the latest advancements, trends, and best practices.",1/12/2024 12:00:00 AM,LIL,LinkedInLearning,Machine Learning,Technical Skills,AI & ML Technologies,Advanced,L400,1.0833333333333333,en
65,Machine Learning,Online Course,AWS Foundations: Machine Learning Basics,PSL420130277.00,AWS Foundations: Machine Learning Basics,https://app.pluralsight.com/sso/microsoft?returnUrl=courses/aws-foundations-machine-learning-basics,,Online Course,1288200,Yes,,"What is machine learning? How can machine learning solve business problems? When is it appropriate to use a machine learning model? What are the phases of a machine learning pipeline? In this course, you get an overview of the concepts, terminology, and processes of the exciting field of machine learning!",9/8/2020 12:00:00 AM,EMLI,PLURALSIGHT,Machine Learning,Technical Skills,AI & ML Technologies,Beginner,L100,,en
66,Machine Learning,Online Course,Create machine learning models,FCD3F32C-4509-496E-9D1A-F42E934D7F74,Create machine learning models,https://learn.microsoft.com/en-us/training/paths/create-machine-learn-models/?WT.mc_id=api_CatalogApi,6h 19m,Online Course,1030958,Yes,,"Machine learning is the foundation for predictive modeling and artificial intelligence. Learn some of the core principles of machine learning and how to use common tools and frameworks to train, evaluate, and use machine learning models.",6/25/2020 12:00:00 AM,,MSLearn,Machine Learning,Technical Skills,AI & ML Technologies,Beginner,L100,6.316666666666666,en
67,Machine Learning,Online Course,LinkedIn AI Academy AI-100: 3 Scaling AI at LinkedIn,2508450,LinkedIn AI Academy AI-100: 3 Scaling AI at LinkedIn,https://www.linkedin.com/checkpoint/enterprise/login/3322?pathWildcard=3322&application=learning&dApp=223557096&redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Flearning%2Flinkedin-ai-academy-ai-100-3-scaling-ai-at-linkedin%3FdApp%3D223557096%26leis%3DLAA%26u%3D3322,1h 42m,Online Course,989281,Yes,,"<p>AI is one of the most important but least understood fields in the world. It’s changing the way we think about business, but it’s changing so fast it’s difficult to know where to begin. If you’re looking to learn more about scaling AI, join LinkedIn’s AI and Machine Learning Engineering team in this beginner-friendly course, the third and final installment of the <i>Linked AI Academy AI-100</i> series.</p><p>Discover the basics of how AI works so you can scale it like a pro. Explore use cases with specific examples of AI applications from LinkedIn. Find out how LinkedIn develops and scales AI for nearly a billion product users. Along the way, these instructors discuss  the specifics of applications such as search, recommendations, spam classifiers, fake account selector, anomaly detection, systems and productivity, trust and privacy, standardization, and more.</p>",5/4/2023 12:00:00 AM,LIL,LinkedInLearning,Machine Learning,Technical Skills,AI & ML Technologies,Beginner,L100,1.7,en
68,Machine Learning,Online Course,Literacy Essentials: Core Concepts Data Normalization,PSL8607.00,Literacy Essentials: Core Concepts Data Normalization,https://app.pluralsight.com/sso/microsoft?returnUrl=courses/literacy-essentials-core-concepts-data-normalization,,Online Course,1295124,Yes,,"Deep Learning is a branch of Machine Learning based on Neural Networks. In this course, Literacy Essentials: Core Concepts Data Normalization, you’ll learn to use Normalization to place your dataset in an even playing field such that it can be easily analyzed. First, you’ll gain an understanding of why Normalization is needed in Deep Learning and in Machine Learning as a whole. Next, you’ll discover the different Normalization techniques available in Deep Learning. Finally, you’ll learn how to Implement these techniques by taking a look at scenarios. When you’re finished with this course, you’ll have the skills and knowledge of the Core Concepts of Data Normalization needed to understand Deep Learning.",1/3/2022 12:00:00 AM,EMLI,PLURALSIGHT,Machine Learning,Technical Skills,AI & ML Technologies,Intermediate,L200,,en
69,Machine Learning,Online Course,MLOps and Data Pipeline Orchestration for AI Systems,3954294,MLOps and Data Pipeline Orchestration for AI Systems,https://www.linkedin.com/checkpoint/enterprise/login/3322?pathWildcard=3322&application=learning&dApp=223557096&redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Flearning%2Fmlops-and-data-pipeline-orchestration-for-ai-systems%3FdApp%3D223557096%26leis%3DLAA%26u%3D3322,1h 19m,Online Course,1003031,Yes,,"<p>This course covers the automation and management of machine learning workflows, from data ingestion to model deployment. Join instructor Janani Ravi as she teaches you how to orchestrate and optimize data pipelines, ensuring efficient, scalable, and reliable operation of AI systems in production environments. This course is an ideal fit for anyone working with AI, data infrastructure, and machine learning operations (MLOps), including data engineers, AI and ML engineers, MLOPs engineers, and DevOps engineers.</p><p>This course was created by Loonycorn. We are pleased to host this training in our library.</p>",5/27/2025 12:00:00 AM,LIL,LinkedInLearning,Machine Learning,Technical Skills,AI & ML Technologies,Proficient,L300,1.3166666666666669,en
70,Machine Learning,Online Course,Manage and review models in Azure Machine Learning,F6E85A87-A144-4426-810A-EE2595625A58,Manage and review models in Azure Machine Learning,https://learn.microsoft.com/en-us/training/paths/manage-review-models-azure-machine-learning/?WT.mc_id=api_CatalogApi,1h 22m,Online Course,1030817,Yes,,MLflow model management and responsible AI dashboard in Azure Machine Learning.,7/5/2023 12:00:00 AM,,MSLearn,Machine Learning,Technical Skills,AI & ML Technologies,Beginner,L100,1.3666666666666667,en
71,Machine Learning,Online Course,Mining Data from Text,PSL869166172.00,Mining Data from Text,https://app.pluralsight.com/sso/microsoft?returnUrl=courses/mining-data-text,,Online Course,1295288,Yes,,"A large part of the appeal of deep learning models is their ability to work with unstructured data types such as text, images, and video. However such models are only as good as the feature vectors that they operate on. In this course, Mining Data from Text, you will gain the ability to build highly optimized and efficient feature vectors from textual and document data. First, you will learn how to represent documents as numeric data using simple numeric identifiers for individual words as well as more elegant methods such as term frequency and inverse document frequency. Next, you will discover how to perform topic modeling using techniques such as latent semantic analysis, latent Dirichlet allocation, and non-negative matrix factorization. Finally, you will explore how to implement keyword extraction using a popular algorithm - RAKE. When you’re finished with this course, you will have the skills and knowledge to move on to build efficient and optimized feature vectors from a large document corpus and use those feature vectors in building powerful machine learning models.",6/28/2019 12:00:00 AM,EMLI,PLURALSIGHT,Machine Learning,Technical Skills,AI & ML Technologies,Intermediate,L200,,en
72,Machine Learning,Online Course,Preparing Data for Feature Engineering and Machine Learning in Microsoft Azure,PSL621265384.00,Preparing Data for Feature Engineering and Machine Learning in Microsoft Azure,https://app.pluralsight.com/sso/microsoft?returnUrl=courses/microsoft-azure-preparing-data-feature-engineering-ml,,Online Course,1290790,Yes,,"Data comes from many different sources. So when you join them, they are naturally inconsistent. In this course,  Preparing Data for Feature Engineering and Machine Learning in Microsoft Azure, you will be taken on a journey where you begin with data that's unsuitable for machine learning and use different modules in Azure Machine Learning to clean and preprocess the data. First, you will learn how to set up the data and workspace in Azure Machine Learning. Next, you will discover the role of feature engineering in machine learning. Finally, you will explore how to Identify specific data-level issues for machine learning models. When you’re finished with this course, you will have a clean dataset processed with azure machine learning modules that’s ready to build production-ready machine learning models.",12/16/2019 12:00:00 AM,EMLI,PLURALSIGHT,Machine Learning,Technical Skills,AI & ML Technologies,Beginner,L100,,en
73,Machine Learning,Online Course,Programming Foundations: Fuzzy Logic,667369,Programming Foundations: Fuzzy Logic,https://www.linkedin.com/checkpoint/enterprise/login/3322?pathWildcard=3322&application=learning&dApp=223557096&redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Flearning%2Fprogramming-foundations-fuzzy-logic%3FdApp%3D223557096%26leis%3DLAA%26u%3D3322,41m,Online Course,1017083,Yes,,"Most modern programming is based on exact logic: black or white, yes or no, true or false, 0 or 1. However, we live in a world of partial truths and shades of grey. Fuzzy logic is designed to handle this ambiguity, and help computers more closely approximate human reasoning. In this course, Dr. Erin Colvin introduces fuzzy logic, its benefits, and its contributions to fields such as artificial intelligence and machine learning. Learn about related concepts such as fuzzy set theory and fuzzy inference, with practical examples from real-world applications of the technology.",4/10/2018 12:00:00 AM,LIL,LinkedInLearning,Machine Learning,Technical Skills,AI & ML Technologies,Beginner,L100,0.6833333333333333,en
74,Machine Learning,Online Course,Test Out: Fine-tune a foundation model from the model catalog in Azure Machine Learning,S9284032,Test Out: Fine-tune a foundation model from the model catalog in Azure Machine Learning,https://learningplayer.microsoft.com/activity/S9284032/launch,10m,Online Course,1658761,Yes,0.1700000017881393,"This test-out option is for those already familiar with the materials covered in this course. This test out is not required, and you will only have one attempt to pass the test out. Successfully passing the test-out will award credit for the corresponding course.",6/5/2024 12:00:00 AM,MCAPS Academy,SuccessFactors,Machine Learning,Technical Skills,AI & ML Technologies,Beginner,L100,0.1666666666666666,en
75,Machine Learning,Online Course,Understanding Machine Learning,PSL84609626.00,Understanding Machine Learning,https://app.pluralsight.com/sso/microsoft?returnUrl=courses/understanding-machine-learning,,Online Course,1294867,Yes,,"Hello! My name is David Chappell, and I’m the author of Understanding Machine Learning here at Pluralsight. Have you ever wondered what machine learning is? That’s what this course is designed to teach you. You’ll explore the open source programming language R, learn about training and testing a model as well as using a model. By the time you’re done, you’ll have a clear understanding of exactly what machine learning is all about. It’s all ready and waiting for you – jump in whenever you’re ready, and thanks for visiting me here at Pluralsight.",2/4/2016 12:00:00 AM,EMLI,PLURALSIGHT,Machine Learning,Technical Skills,AI & ML Technologies,Beginner,L100,,en
76,Machine Learning,Online Course,Well Architected Assessment for Analytics,S9236867,Well Architected Assessment for Analytics,https://learningplayer.microsoft.com/activity/S9236867/launch,30m,Online Course,1633479,Yes,0.5,"Demonstrate required delivery process understanding for a successful Well Architected Asessment for Machine Learning delivery.
NOTE: This Knowledge Measure test is OPTIONAL, however, it is highly recommended to conduct this test to identify your gaps in the delivery process, or to give you the confidence that you are able to successful deliver this engagement to customers.
If you have any questions about the delivery process, please reach out to the IP Leads or WAF Leads anytime. They are able to provide additional guidance about the delivery process.",7/8/2022 12:00:00 AM,World Wide Readiness,SuccessFactors,Machine Learning,Technical Skills,AI & ML Technologies,Beginner,L100,0.5,en
77,Prompt Engineering,Online Course,"AI Skills in Minutes: Quick Wins for Prompting, Research, and Productivity",6335000,"AI Skills in Minutes: Quick Wins for Prompting, Research, and Productivity",https://www.linkedin.com/checkpoint/enterprise/login/3322?pathWildcard=3322&application=learning&dApp=223557096&redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Flearning%2Fai-skills-in-minutes-quick-wins-for-prompting-research-and-productivity%3FdApp%3D223557096%26leis%3DLAA%26u%3D3322,16m,Online Course,1016234,Yes,,"<p>Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. </p>

<p>In this course, Rachel Woods—the founder of AI Momentum Protocols (AMP)—offers tips on using artificial intelligence to boost productivity in any role you are in, covering topics including research, organization, and presentations. Learn how to get the most out of AI, supercharge your research, improve your writing and presentation skills, and more. </p>",3/31/2026 12:00:00 AM,LIL,LinkedInLearning,Prompt Engineering,Technical Skills,AI & ML Technologies,Expert,L500,0.2666666666666666,en
78,Prompt Engineering,Online Course,AI-Powered Development with the Anthropic API,6049000,AI-Powered Development with the Anthropic API,https://www.linkedin.com/checkpoint/enterprise/login/3322?pathWildcard=3322&application=learning&dApp=223557096&redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Flearning%2Fai-powered-development-with-the-anthropic-api%3FdApp%3D223557096%26leis%3DLAA%26u%3D3322,37m,Online Course,1015282,Yes,,"AI APIs provide powerful ways to build intelligent applications, but leveraging them effectively requires skillful prompt engineering and API knowledge. In this course, you'll gain hands-on experience with API requests, learn best practices for structuring prompts, and compare AI model capabilities. Learn to integrate AI into your development workflow.",3/20/2025 12:00:00 AM,LIL,LinkedInLearning,Prompt Engineering,Technical Skills,AI & ML Technologies,Intermediate,L200,0.6166666666666667,en
