uid,title,learn_url,repository_path,levels,roles,products,subjects,service,source,author,ms_author,ms_date,hidden,inclusion_reasons
learn.wwl.extract-data-with-document-intelligence,Extract data with Azure Document Intelligence,https://learn.microsoft.com/training/modules/extract-data-with-document-intelligence/,learn-pr/wwl-data-ai/extract-data-with-document-intelligence/index.yml,intermediate,ai-engineer; developer,foundry-tools; document-intelligence; microsoft-foundry,artificial-intelligence,azure-document-intelligence-foundry-tools,wwl-data-ai,ivorb,berryivor,03/11/2026,False,Product metadata; Service metadata
learn.wwl.extract-insights-using-azure-ai-language-azure-database-postgresql,Extract insights using Azure Language and Azure Database for PostgreSQL,https://learn.microsoft.com/training/modules/extract-insights-using-azure-ai-language-azure-database-postgresq/,learn-pr/wwl-data-ai/extract-insights-using-azure-ai-language-azure-database-postgresq/index.yml,intermediate,developer,azure-database-postgresql; foundry-tools,artificial-intelligence; databases,azure-database-postgresql,wwl-data-ai,wwlpublish,calopez,11/24/2024,False,Product metadata
learn.forcast-agent-return-investment,Forecast the return on investment (ROI) of AI agents,https://learn.microsoft.com/training/modules/forecast-agent-return-investment/,learn-pr/advocates/forecast-agent-return-investment/index.yml,intermediate,developer,microsoft-foundry; foundry-tools; azure-openai; ms-copilot,artificial-intelligence,artificial-intelligence,advocates,Orin-Thomas,orthomas,10/1/2025,False,Product metadata
learn.wwl.generate-images-azure-openai,Generate images with AI,https://learn.microsoft.com/training/modules/generate-images-azure-openai/,learn-pr/wwl-data-ai/generate-images-azure-openai/index.yml,intermediate,ai-engineer; developer,microsoft-foundry; azure-openai,artificial-intelligence,microsoft-foundry,wwl-data-ai,ivorb,berryivor,03/24/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.generate-video-with-foundry,Generate videos with Microsoft Foundry,https://learn.microsoft.com/training/modules/generate-video-with-foundry/,learn-pr/wwl-data-ai/generate-video-with-foundry/index.yml,intermediate,ai-engineer,microsoft-foundry,artificial-intelligence,microsoft-foundry,wwl-data-ai,buzahid,buzahid,03/02/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.ai-agent-fundamentals,Get started with AI agent development on Azure,https://learn.microsoft.com/training/modules/ai-agent-fundamentals/,learn-pr/wwl-data-ai/ai-agent-fundamentals/index.yml,beginner,ai-engineer; data-scientist,microsoft-foundry; foundry-agent-service,artificial-intelligence,microsoft-foundry,wwl-data-ai,ivorb,berryivor,07/07/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.get-started-with-ai-in-azure,Get started with AI in Azure,https://learn.microsoft.com/training/modules/get-started-with-ai-in-azure/,learn-pr/wwl-data-ai/get-started-with-ai-in-azure/index.yml,beginner,ai-engineer; data-scientist; developer; solution-architect; student,microsoft-foundry,,microsoft-foundry,wwl-data-ai,GraemeMalcolm,gmalc,03/24/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.get-started-information-extraction,Get started with AI-powered information extraction in Azure,https://learn.microsoft.com/training/modules/get-started-information-extraction/,learn-pr/wwl-data-ai/get-started-information-extraction/index.yml,beginner,ai-engineer,foundry-tools; microsoft-foundry,artificial-intelligence,microsoft-foundry,wwl-data-ai,GraemeMalcolm,gmalc,05/15/2026,False,Product metadata; Service metadata
learn.wwl.claude-in-foundry,Get started with Claude in Microsoft Foundry,https://learn.microsoft.com/training/modules/claude-in-foundry/,learn-pr/wwl-data-ai/claude-in-foundry/index.yml,intermediate,ai-engineer,microsoft-foundry,artificial-intelligence,microsoft-foundry,wwl-data-ai,graememalcolm,gmalc,08/01/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.get-started-with-computer-vision-in-azure,Get started with computer vision in Azure,https://learn.microsoft.com/training/modules/get-started-vision-azure/,learn-pr/wwl-data-ai/get-started-vision-azure/index.yml,beginner,ai-engineer; data-scientist; developer; solution-architect; student,foundry-tools; microsoft-foundry,classification-analysis,azure,wwl-data-ai,wwlpublish,gmalc,03/24/2026,False,Product metadata
learn.wwl.get-started-with-generative-ai-and-agents,Get started with generative AI and agents in Azure,https://learn.microsoft.com/training/modules/get-started-with-generative-ai-and-agents/,learn-pr/wwl-data-ai/get-started-with-generative-ai-and-agents/index.yml,beginner,ai-engineer; data-scientist; developer; solution-architect; student,microsoft-foundry,artificial-intelligence,,wwl-data-ai,GraemeMalcolm,gmalc,03/24/2026,False,Product metadata; Content mention
learn.wwl.get-started-foundry-iq,Get started with Microsoft Foundry IQ,https://learn.microsoft.com/training/modules/get-started-foundry-iq/,learn-pr/wwl-data-ai/get-started-foundry-iq/index.yml,beginner,ai-engineer; data-scientist; developer; solution-architect; student,microsoft-foundry,artificial-intelligence,microsoft-foundry,wwl-data-ai,GraemeMalcolm,gmalc,07/31/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.get-started-with-speech-in-azure,Get started with speech in Azure,https://learn.microsoft.com/training/modules/get-started-speech-azure/,learn-pr/wwl-data-ai/get-started-speech-azure/index.yml,beginner,ai-engineer; student,foundry-tools; microsoft-foundry,artificial-intelligence; natural-language-processing,azure-speech-foundry-tools,wwl-data-ai,wwlpublish,gmalc,02/13/2026,False,Product metadata; Service metadata
learn.wwl.get-started-with-text-analysis-in-azure,Get started with text analysis in Azure,https://learn.microsoft.com/training/modules/get-started-text-analysis-azure/,learn-pr/wwl-data-ai/get-started-text-analysis-azure/index.yml,beginner,ai-engineer; data-scientist; developer; solution-architect; student,foundry-tools; microsoft-foundry,natural-language-processing,azure-language-foundry-tools,wwl-data-ai,wwlpublish,gmalc,04/10/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.govern-ai-ready-workloads-microsoft-foundry,Govern AI ready workloads with Microsoft Foundry,https://learn.microsoft.com/training/modules/govern-ai-ready-workloads-microsoft-foundry/,learn-pr/wwl-azure/govern-ai-ready-workloads-microsoft-foundry/index.yml,intermediate,administrator,foundry-tools; azure,infrastructure,azure,wwl-azure,wwlpublish,robbarefoot,02/02/2026,False,Product metadata; Content mention
learn.govern-ai-services-azure-policy,Govern AI services with Azure Policy,https://learn.microsoft.com/training/modules/govern-ai-azure-policy/,learn-pr/advocates/govern-ai-azure-policy/index.yml,beginner,developer,azure,,azure-policy,advocates,Orin-Thomas,viniap,07/25/2026,False,Content mention
learn.wwl.govern-enterprise-agent-lifecycle-azure,Govern the enterprise agent lifecycle in Microsoft Foundry,https://learn.microsoft.com/training/modules/aaai-govern-enterprise-agent-lifecycle-azure/,learn-pr/wwl-data-ai/aaai-govern-enterprise-agent-lifecycle-azure/index.yml,advanced,ai-engineer; solution-architect; devops-engineer,azure; microsoft-foundry,artificial-intelligence; devops,microsoft-foundry,wwl-data-ai,petender,petender,8/4/2026,False,Product metadata; Service metadata; Content mention
learn.philanthropies.embrace-responsible-ai,Guided project - Embrace responsible AI,https://learn.microsoft.com/training/modules/embrace-responsible-ai/,learn-pr/philanthropies/embrace-responsible-ai/index.yml,beginner,k-12-educator; business-user; higher-ed-educator; data-engineer; school-leader,foundry-tools; azure-machine-learning; azure-machine-learning-designer; m365-apps; azure-translator-text; azure-translator-speech; ms-copilot; language-service,artificial-intelligence,artificial-intelligence,philanthropies,yoosunee,anruss,01/14/2025,False,Product metadata
learn.identify-ai-agent-use-case,Identify and Prioritize High-Impact AI Agent Use Cases,https://learn.microsoft.com/training/modules/identify-ai-agent-use-case/,learn-pr/advocates/identify-ai-agent-use-case/index.yml,intermediate,developer,microsoft-foundry; foundry-tools; azure-openai; ms-copilot,artificial-intelligence,artificial-intelligence,advocates,Orin-Thomas,orthomas,10/1/2025,False,Product metadata
learn.wwl.responsible-ai-studio,Implement a responsible generative AI solution in Microsoft Foundry,https://learn.microsoft.com/training/modules/responsible-ai-studio/,learn-pr/wwl-data-ai/responsible-ai-studio/index.yml,intermediate,ai-engineer; developer; solution-architect; student,microsoft-foundry,artificial-intelligence,microsoft-foundry,wwl-data-ai,ivorb,berryivor,04/28/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.implement-multi-agent-orchestration-azure-ai-foundry,Implement advanced multi-agent orchestration patterns in Microsoft Foundry,https://learn.microsoft.com/training/modules/aaai-implement-multi-agent-orchestration-azure-ai-foundry/,learn-pr/wwl-data-ai/aaai-implement-multi-agent-orchestration-azure-ai-foundry/index.yml,advanced,ai-engineer; solution-architect,azure; microsoft-foundry; foundry-agent-service,artificial-intelligence,microsoft-foundry,wwl-data-ai,petender,petender,7/28/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.implement-advanced-rag-azure-ai-search,Implement advanced RAG pipelines with Azure AI Search and Microsoft Foundry,https://learn.microsoft.com/training/modules/aaai-implement-advanced-rag-azure-ai-search/,learn-pr/wwl-data-ai/aaai-implement-advanced-rag-azure-ai-search/index.yml,advanced,ai-engineer; solution-architect; data-scientist,azure; microsoft-foundry; azure-cognitive-search,artificial-intelligence; machine-learning,microsoft-foundry,wwl-data-ai,petender,petender,8/3/2026,False,Product metadata; Service metadata; Content mention
learn.philanthropies.implement-ai-tools-into-training-environment,Implement AI tools into a training environment,https://learn.microsoft.com/training/modules/implement-ai-tools-into-training-environment/,learn-pr/philanthropies/implement-ai-tools-into-training-environment/index.yml,beginner,k-12-educator; business-user; higher-ed-educator; data-engineer; school-leader,foundry-tools; azure-machine-learning; azure-machine-learning-designer; m365-apps; azure-translator-text; azure-translator-speech; ms-copilot; language-service,artificial-intelligence,artificial-intelligence,philanthropies,yoosunee,anruss,01/14/2025,False,Product metadata
learn.intro-azure-openai-managed-identity-auth-java,Implement Azure OpenAI keyless authentication with Java,https://learn.microsoft.com/training/modules/intro-azure-openai-managed-identity-auth-java/,learn-pr/advocates/intro-azure-openai-managed-identity-auth-java/index.yml,beginner,developer,azure,,microsoft-foundry,advocates,orin-thomas,orthomas,05/20/2026,False,Service metadata; Content mention
learn.adopt-ai-agent-best-practice,Implement best practices to empower AI agent efficiency and ensure long-term success,https://learn.microsoft.com/training/modules/adopt-ai-agent-best-practice/,learn-pr/advocates/adopt-ai-agent-best-practice/index.yml,intermediate,developer,microsoft-foundry; foundry-tools; azure-openai; ms-copilot,artificial-intelligence,artificial-intelligence,advocates,Orin-Thomas,orthomas,10/1/2025,False,Product metadata
learn.wwl.implement-cicd-multi-agent-systems-github-actions,Implement CI/CD pipelines for multi-agent systems with GitHub Actions,https://learn.microsoft.com/training/modules/aaai-implement-cicd-multi-agent-systems-github-actions/,learn-pr/wwl-data-ai/aaai-implement-cicd-multi-agent-systems-github-actions/index.yml,advanced,ai-engineer; devops-engineer; solution-architect,azure; microsoft-foundry; github,artificial-intelligence; devops,microsoft-foundry,wwl-data-ai,petender,petender,8/3/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.implement-distributed-observability-multi-agent-opentelemetry,Implement distributed observability for multi-agent solutions with OpenTelemetry,https://learn.microsoft.com/training/modules/aaai-implement-distributed-observability-multi-agent-opentelemetry/,learn-pr/wwl-data-ai/aaai-implement-distributed-observability-multi-agent-opentelemetry/index.yml,advanced,ai-engineer; devops-engineer; solution-architect,azure; microsoft-foundry; azure-monitor,artificial-intelligence; devops,microsoft-foundry,wwl-data-ai,petender,petender,8/4/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.implement-generative-ai-agents-azure-postgresql,Implement generative AI agents with Azure Database for PostgreSQL,https://learn.microsoft.com/training/modules/implement-generative-ai-agents-azure-postgresql/,learn-pr/wwl-data-ai/implement-generative-ai-agents-azure-postgresql/index.yml,intermediate,developer; data-engineer; solution-architect,azure; azure-database-postgresql,databases; artificial-intelligence; cloud-computing,azure-database-postgresql,wwl-data-ai,wwlpublish,calopez,10/09/2025,False,Content mention
learn.moderate-content-detect-harm-azure-ai-content-safety-studio,Implement generative AI guardrails in Azure AI Foundry,https://learn.microsoft.com/training/modules/moderate-content-detect-harm-azure-ai-content-safety-studio/,learn-pr/advocates/moderate-content-detect-harm-azure-ai-content-safety-studio/index.yml,beginner,developer,azure,,artificial-intelligence,advocates,aprilgittens,apspeigh,04/20/2026,False,Content mention
learn.wwl.implement-fabric-data-agents,Implement Microsoft Fabric Data Agents (chat with your data),https://learn.microsoft.com/training/modules/implement-fabric-data-agents/,learn-pr/wwl/implement-fabric-data-agents/index.yml,intermediate,data-analyst; data-engineer,fabric,data-analytics; data-engineering; data-integration,fabric,wwl,weslbo,wedebols,03/27/2026,False,Content mention
learn.wwl.implement-resilient-ai-ready-infrastructure,Implement resilient AI-ready infrastructure,https://learn.microsoft.com/training/modules/implement-resilient-ai-ready-infrastructure/,learn-pr/wwl-azure/implement-resilient-ai-ready-infrastructure/index.yml,intermediate,administrator,azure,infrastructure,azure,wwl-azure,wwlpublish,robbarefoot,02/03/2026,False,Content mention
learn.wwl.implement-secure-ai-ready-infrastructure-azure-services,Implement secure AI-ready infrastructure with Azure services,https://learn.microsoft.com/training/modules/implement-secure-ai-ready-infrastructure-azure-services/,learn-pr/wwl-azure/implement-secure-ai-ready-infrastructure-azure-services/index.yml,intermediate,security-engineer; administrator; database-administrator; data-scientist; security-operations-analyst,azure; azure-openai; azure-container-registry; microsoft-foundry; azure-machine-learning,security; cloud-security; infrastructure; information-protection-governance; artificial-intelligence,azure,wwl-azure,wwlpublish,robbarefoot,02/04/2026,False,Product metadata; Content mention
learn.wwl.build-agent-with-custom-tools,Integrate custom tools into your agent,https://learn.microsoft.com/training/modules/build-agent-with-custom-tools/,learn-pr/wwl-data-ai/build-agent-with-custom-tools/index.yml,intermediate,ai-engineer; developer; solution-architect; student,microsoft-foundry; foundry-agent-service,artificial-intelligence,microsoft-foundry,wwl-data-ai,ivorb,berryivor,5/1/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.connect-agent-to-mcp-tools,Integrate MCP Tools with Azure AI Agents,https://learn.microsoft.com/training/modules/connect-agent-to-mcp-tools/,learn-pr/wwl-data-ai/connect-agent-to-mcp-tools/index.yml,intermediate,ai-engineer; developer; solution-architect; student,microsoft-foundry; foundry-agent-service,artificial-intelligence,microsoft-foundry,wwl-data-ai,buzahid,buzahid,4/30/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.integrate-foundry-agent-with-m365,Integrate your agent with Microsoft 365,https://learn.microsoft.com/training/modules/integrate-foundry-agent-with-m365/,learn-pr/wwl-data-ai/integrate-foundry-agent-with-m365/index.yml,intermediate,ai-engineer; developer; solution-architect,microsoft-foundry; foundry-agent-service; microsoft-365-copilot,artificial-intelligence,microsoft-foundry,wwl-data-ai,ivorb,berryivor,5/29/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.introduction-ai-speech,Introduction to AI speech concepts,https://learn.microsoft.com/training/modules/introduction-ai-speech/,learn-pr/wwl-data-ai/introduction-ai-speech/index.yml,beginner,ai-engineer; data-scientist; developer; solution-architect; student,microsoft-foundry,artificial-intelligence,azure,wwl-data-ai,wwlpublish,gmalc,10/27/2025,False,Product metadata
learn.wwl.introduction-information-extraction,Introduction to AI-powered information extraction concepts,https://learn.microsoft.com/training/modules/introduction-information-extraction/,learn-pr/wwl-data-ai/introduction-information-extraction/index.yml,beginner,ai-engineer; data-scientist; developer; solution-architect; student,microsoft-foundry,artificial-intelligence,azure,wwl-data-ai,wwlpublish,gmalc,11/18/2025,False,Product metadata
learn.intro-azure-openai-managed-identity-auth-javascript,Introduction to Azure OpenAI managed identity authentication with JavaScript,https://learn.microsoft.com/training/modules/intro-azure-openai-managed-identity-auth-javascript/,learn-pr/advocates/intro-azure-openai-managed-identity-auth-javascript/index.yml,beginner,developer,azure,,microsoft-foundry,advocates,Orin-Thomas,orthomas,05/20/2026,False,Service metadata; Content mention
learn.intro-azure-openai-managed-identity-auth-python,Introduction to Azure OpenAI managed identity authentication with Python,https://learn.microsoft.com/training/modules/intro-azure-openai-managed-identity-auth-python/,learn-pr/advocates/intro-azure-openai-managed-identity-auth-python/index.yml,beginner,developer,azure,,microsoft-foundry,advocates,Orin-Thomas,orthomas,05/20/2026,False,Service metadata; Content mention
learn.azure.intro-build-copilots-for-startups,Introduction to building copilots for startups,https://learn.microsoft.com/training/modules/intro-to-copilots-for-startups/,learn-pr/azure/intro-to-copilots-for-startups/index.yml,beginner,ai-engineer; data-scientist; student; startup-founder,azure-bot-service; foundry-tools; azure-machine-learning,,azure-copilot,azure,amit7200,amsvarze,07/30/2024,False,Product metadata
learn.wwl.introduction-computer-vision,Introduction to computer vision concepts,https://learn.microsoft.com/training/modules/introduction-computer-vision/,learn-pr/wwl-data-ai/introduction-computer-vision/index.yml,beginner,ai-engineer; data-scientist; developer; solution-architect; student,microsoft-foundry,artificial-intelligence,azure,wwl-data-ai,wwlpublish,gmalc,10/24/2025,False,Product metadata
learn.tensorflow.intro-computer-vision,Introduction to computer vision with TensorFlow,https://learn.microsoft.com/training/modules/intro-computer-vision-tensorflow/,learn-pr/tensorflow/intro-computer-vision-tensorflow/index.yml,beginner,developer,azure-machine-learning,classification-analysis,foundry-tools,tensorflow,Orin-Thomas,orthomas,04/01/2026,False,Service metadata
learn.philanthropies.intro-generative-ai-explore-basics,Introduction to generative AI - Exploring the basics,https://learn.microsoft.com/training/modules/intro-generative-ai-explore-basics/,learn-pr/philanthropies/intro-generative-ai-explore-basics/index.yml,beginner,k-12-educator; business-user; higher-ed-educator; data-engineer; school-leader,foundry-tools; azure-machine-learning; azure-machine-learning-designer; m365-apps; azure-translator-text; azure-translator-speech; ms-copilot; language-service,artificial-intelligence,artificial-intelligence,philanthropies,yoosunee,anruss,03/24/2025,False,Product metadata
learn.wwl.fundamentals-generative-ai,Introduction to generative AI and agents,https://learn.microsoft.com/training/modules/fundamentals-generative-ai/,learn-pr/wwl-data-ai/fundamentals-generative-ai/index.yml,beginner,ai-engineer; developer; solution-architect; student,microsoft-foundry,artificial-intelligence,microsoft-foundry,wwl-data-ai,GraemeMalcolm,gmalc,07/21/2026,False,Product metadata; Service metadata
learn.introduction-large-language-models,Introduction to large language models,https://learn.microsoft.com/training/modules/introduction-large-language-models/,learn-pr/student-evangelism/introduction-large-language-models/index.yml,beginner,developer,azure,,foundry-tools,student-evangelism,softchris,chnoring,11/30/2023,False,Service metadata
learn.introduction-ai-agent-service-security-controls,Introduction to Microsoft Foundry Agent Service security controls,https://learn.microsoft.com/training/modules/intro-ai-agent-service-security-controls/,learn-pr/advocates/intro-ai-agent-service-security-controls/index.yml,beginner,developer,azure,,artificial-intelligence,advocates,Orin-Thomas,orthomas,05/22/2026,False,Content mention
learn.dpu.introduction-microsoft-foundry-windows,Introduction to Microsoft Foundry on Windows,https://learn.microsoft.com/training/modules/introduction-microsoft-foundry-windows/,learn-pr/device-partner-university/introduction-microsoft-foundry-windows/index.yml,beginner,administrator; business-leader; business-owner; business-user; technology-manager,azure-local,,azure-local,device-partner-university,hhreyes21,v-homerreyes,03/24/2026,False,Content mention
learn.philanthropies.introduction-to-microsofts-responsible-ai-approach,Introduction to Microsoft's Responsible AI Approach,https://learn.microsoft.com/training/modules/introduction-to-microsofts-responsible-ai-approach/,learn-pr/philanthropies/introduction-to-microsofts-responsible-ai-approach/index.yml,beginner,k-12-educator; business-user; higher-ed-educator; data-engineer; school-leader,foundry-tools; azure-machine-learning; azure-machine-learning-designer; m365-apps; azure-translator-text; azure-translator-speech; ms-copilot; language-service,artificial-intelligence,artificial-intelligence,philanthropies,yoosunee,anruss,01/17/2025,False,Product metadata
learn.intro-to-mixed-reality,Introduction to mixed reality,https://learn.microsoft.com/training/modules/intro-to-mixed-reality/,learn-pr/azure/intro-to-mixed-reality/index.yml,beginner,developer; business-owner; student; technology-manager,azure; azure-cloud-services; foundry-tools; dynamics-365; dynamics-guides; dynamics-remote-assist; windows; windows-mixed-reality; mrtk; hololens,mixed-reality,mixed-reality,azure,Sean-Kerawala,sekerawa,04/04/2025,False,Product metadata
learn.wwl.introduction-language,Introduction to natural language processing concepts,https://learn.microsoft.com/training/modules/introduction-language/,learn-pr/wwl-data-ai/introduction-language/index.yml,beginner,ai-engineer; data-scientist; developer; solution-architect; student,microsoft-foundry,artificial-intelligence,azure-language-foundry-tools,wwl-data-ai,GraemeMalcolm,gmalc,12/16/2025,False,Product metadata; Service metadata
learn.wwl.rag-fundamentals,Introduction to retrieval-augmented generation concepts,https://learn.microsoft.com/training/modules/rag-fundamentals/,learn-pr/wwl-data-ai/rag-fundamentals/index.yml,beginner,ai-engineer; developer; solution-architect; student,microsoft-foundry,artificial-intelligence,microsoft-foundry,wwl-data-ai,GraemeMalcolm,gmalc,07/31/2026,False,Product metadata; Service metadata
learn.intro-managed-identity-azure-openai-dotnet,Introduction to using Managed Identity to authenticate to Azure OpenAI in Microsoft Foundry Models with .NET,https://learn.microsoft.com/training/modules/intro-azure-openai-managed-identity-auth-dotnet/,learn-pr/advocates/intro-azure-openai-managed-identity-auth-dotnet/index.yml,beginner,developer,azure,,microsoft-foundry,advocates,Orin-Thomas,orthomas,05/20/2026,False,Service metadata; Content mention
learn.manage-optimize-agent-investment-azure,Manage and optimize AI agent investments on Azure,https://learn.microsoft.com/training/modules/manage-optimize-agent-investment-azure/,learn-pr/advocates/manage-optimize-agent-investment-azure/index.yml,intermediate,developer,microsoft-foundry; foundry-tools; azure-openai; ms-copilot,artificial-intelligence,artificial-intelligence,advocates,Orin-Thomas,orthomas,10/1/2025,False,Product metadata; Content mention
learn.wwl.prompt-versioning-genaiops,Manage prompts for agents in Microsoft Foundry with GitHub,https://learn.microsoft.com/training/modules/prompt-versioning-genaiops/,learn-pr/wwl-data-ai/prompt-versioning-genaiops/index.yml,intermediate,data-scientist; ai-engineer; devops-engineer; developer,azure; foundry-tools; github,cloud-computing; artificial-intelligence; machine-learning; devops,foundry-tools,wwl-data-ai,madiepev,madiepev,01/07/2026,False,Product metadata; Service metadata; Content mention
learn.maximize-cost-efficiency-ai-agent-development,Maximize cost efficiency by choosing the right AI agent development approach on Azure,https://learn.microsoft.com/training/modules/maximize-cost-efficiency-ai-agent-development/,learn-pr/advocates/maximize-cost-efficiency-ai-agent-development/index.yml,intermediate,developer,microsoft-foundry; foundry-tools; azure-openai; ms-copilot,artificial-intelligence,artificial-intelligence,advocates,Orin-Thomas,orthomas,10/1/2025,False,Product metadata
learn.measure-mitigate-risks-azure-ai-studio,Measure and mitigate risks for a generative AI app in Azure AI Foundry,https://learn.microsoft.com/training/modules/measure-mitigate-risks-azure-ai-studio/,learn-pr/advocates/measure-mitigate-risks-azure-ai-studio/index.yml,beginner,developer,azure,,artificial-intelligence,advocates,aprilgittens,apspeigh,04/20/2026,False,Content mention
learn.wwl.monitor-generative-ai-app,Monitor your generative AI application,https://learn.microsoft.com/training/modules/monitor-generative-ai-app/,learn-pr/wwl-data-ai/monitor-generative-ai-app/index.yml,intermediate,ai-engineer,microsoft-foundry,artificial-intelligence; app-development,microsoft-foundry,wwl-data-ai,wwlpublish,madiepev,04/30/2025,False,Product metadata; Service metadata; Content mention
learn.wwl.optimize-finetune-agents,Optimize and fine-tune AI agents for production,https://learn.microsoft.com/training/modules/optimize-finetune-agents/,learn-pr/wwl-data-ai/optimize-finetune-agents/index.yml,intermediate,data-scientist; ai-engineer,microsoft-foundry,artificial-intelligence; machine-learning; natural-language-processing,microsoft-foundry,wwl-data-ai,madiepev,madiepev,02/25/2026,False,Product metadata; Service metadata
learn.wwl.optimize-generative-ai-model-performance,Optimize generative AI model performance with Microsoft Foundry,https://learn.microsoft.com/training/modules/optimize-generative-ai-model-performance/,learn-pr/wwl-data-ai/optimize-generative-ai-model-performance/index.yml,intermediate,data-scientist; ai-engineer,microsoft-foundry,artificial-intelligence; machine-learning; natural-language-processing,microsoft-foundry,wwl-data-ai,ivorb,berryivor,04/28/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.optimize-multi-agent-performance-cost-azure,Optimize multi-agent performance and cost in Microsoft Foundry,https://learn.microsoft.com/training/modules/aaai-optimize-multi-agent-performance-cost-azure/,learn-pr/wwl-data-ai/aaai-optimize-multi-agent-performance-cost-azure/index.yml,advanced,ai-engineer; solution-architect,azure; microsoft-foundry,artificial-intelligence; machine-learning,microsoft-foundry,wwl-data-ai,petender,petender,8/5/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.orchestrate-sk-multi-agent-solution,Orchestrate a multi-agent solution using the Microsoft Agent Framework,https://learn.microsoft.com/training/modules/orchestrate-semantic-kernel-multi-agent-solution/,learn-pr/wwl-data-ai/orchestrate-semantic-kernel-multi-agent-solution/index.yml,intermediate,ai-engineer; developer; solution-architect; student,foundry-tools,artificial-intelligence,microsoft-foundry,wwl-data-ai,buzahid,buzahid,5/29/2026,False,Product metadata; Service metadata
learn.wwl.plan-prepare-genaiops,Plan and prepare a GenAIOps solution,https://learn.microsoft.com/training/modules/plan-prepare-genaiops/,learn-pr/wwl-data-ai/plan-prepare-genaiops/index.yml,intermediate,data-scientist; ai-engineer,azure; foundry-tools,cloud-computing; artificial-intelligence; machine-learning; natural-language-processing,foundry-tools,wwl-data-ai,madiepev,madiepev,07/18/2026,False,Product metadata; Service metadata
learn.wwl.prepare-azure-ai-development,Plan and prepare to develop AI solutions on Azure,https://learn.microsoft.com/training/modules/prepare-azure-ai-development/,learn-pr/wwl-data-ai/prepare-azure-ai-development/index.yml,beginner,ai-engineer,foundry-tools; microsoft-foundry,artificial-intelligence; app-development,microsoft-foundry,wwl-data-ai,wwlpublish,gmalc,04/28/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.defender-for-cloud-ai-protect-workloads,Protect AI workloads with Microsoft Defender for Cloud,https://learn.microsoft.com/training/modules/defender-for-cloud-ai-protect-workloads/,learn-pr/wwl-sci/defender-for-cloud-ai-protect-workloads/index.yml,intermediate,security-engineer,azure; microsoft-foundry; defender-for-cloud; entra-id; defender-xdr,cloud-security,microsoft-defender,wwl-sci,wwlpublish,riswinto,10/13/2025,False,Product metadata; Content mention
learn.wwl.protect-govern-ai-ready-infrastructure-azure,Protect and govern AI ready infrastructure with Azure,https://learn.microsoft.com/training/modules/protect-govern-ai-ready-infrastructure-azure/,learn-pr/wwl-azure/protect-govern-ai-ready-infrastructure-azure/index.yml,intermediate,administrator; ai-engineer,azure,infrastructure,azure,wwl-azure,wwlpublish,robbarefoot,02/03/2026,False,Content mention
learn.run-evaluations-generate-synthetic-datasets,Run evaluations and generate synthetic datasets,https://learn.microsoft.com/training/modules/run-evaluations-generate-synthetic-datasets/,learn-pr/advocates/run-evaluations-generate-synthetic-datasets/index.yml,beginner,developer,azure; azure-sdks; foundry-tools,,artificial-intelligence,advocates,aprilgittens,apspeigh,04/20/2026,False,Product metadata; Content mention
learn.wwl.run-governed-ai-workloads-microsoft-foundry,Run governed AI workloads with Microsoft Foundry,https://learn.microsoft.com/training/modules/run-governed-ai-workloads-microsoft-foundry/,learn-pr/wwl-azure/run-governed-ai-workloads-microsoft-foundry/index.yml,intermediate,administrator; ai-engineer,azure; microsoft-foundry,infrastructure,azure,wwl-azure,wwlpublish,robbarefoot,02/02/2026,False,Product metadata; Content mention
learn.wwl.scale-responsible-ai-governance-multi-agent,Scale responsible AI governance with Azure AI Content Safety and Microsoft Foundry,https://learn.microsoft.com/training/modules/aaai-scale-responsible-ai-governance-multi-agent/,learn-pr/wwl-data-ai/aaai-scale-responsible-ai-governance-multi-agent/index.yml,advanced,ai-engineer; solution-architect,azure; microsoft-foundry,artificial-intelligence,microsoft-foundry,wwl-data-ai,petender,petender,8/4/2026,False,Product metadata; Service metadata; Content mention
learn.secure-azure-openai-authentication-authorization,Secure authentication and authorization for Azure OpenAI in Microsoft Foundry,https://learn.microsoft.com/training/modules/secure-azure-openai-authentication-authorization/,learn-pr/advocates/secure-azure-openai-authentication-authorization/index.yml,beginner,developer,azure,,microsoft-foundry,advocates,Orin-Thomas,orthomas,05/22/2026,False,Service metadata; Content mention
